LAST SEEN   TYPE      REASON                OBJECT                                                                  MESSAGE
39m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
39m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
41m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-waiting-requests                  Scaler prometheus is built
41m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 5 to 1
41m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm
41m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm to kserve-control-plane
41m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 5
41m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-waiting-requests                  Stopped scalers watch
41m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-waiting-requests                  ScaledObject was deleted
41m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-g487n                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-g487n to kserve-control-plane
41m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-g487n
41m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv
41m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-js5bj
41m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv to kserve-control-plane
41m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj to kserve-control-plane
41m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-g487n                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
41m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
41m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
41m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm
41m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm                        Created container: storage-initializer
41m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g487n                        Created container: storage-initializer
41m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
41m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv                        Created container: storage-initializer
41m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-js5bj
41m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv
41m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-g487n
41m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv                        Started container storage-initializer
41m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj                        Started container storage-initializer
41m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g487n                        Started container storage-initializer
41m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm                        Stopping container storage-initializer
41m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g487n                        Stopping container storage-initializer
41m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xhfv                        Stopping container storage-initializer
41m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-wr5tm                        Started container storage-initializer
41m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj                        Stopping container storage-initializer
41m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-js5bj                        Created container: storage-initializer
40m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-router-scheduler-6ccfbbc5c-99cws        Stopping container main
40m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                 Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-6ccfbbc5c from 1 to 0
40m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-6ccfbbc5c       Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-6ccfbbc5c-99cws
40m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6       Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z
40m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                 Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6 from 0 to 1
40m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z to kserve-control-plane
40m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z        Container image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" already present on machine
40m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z        Created container: main
40m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-router-scheduler-f4fddd7c6-5s77z        Started container main
40m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-nspvd                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-nspvd to kserve-control-plane
40m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 2
40m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                     New size: 2; reason: cpu resource utilization (percentage of request) above target
40m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-nspvd
40m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-nspvd                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
40m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-nspvd                        Created container: storage-initializer
40m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-nspvd                        Started container storage-initializer
40m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 2 to 4
40m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                     New size: 4; reason: cpu resource utilization (percentage of request) above target
40m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-mqhzb
